Age,Salary,Experience_Years,Department,Training_Hours,Performance_Score,Promoted
57,89031,14,HR,71,59.16,0
40,118726,26,Sales,89,78.18,1
47,37357,28,Marketing,97,65.34,1
24,62479,23,Engineering,92,63.27,0
40,91476,14,HR,17,53.17,0
41,74811,24,Sales,30,53.7,0
53,66208,2,Marketing,90,55.25,0
28,50150,26,Engineering,96,64.04,0
62,101180,14,Marketing,89,69.8,1
54,73286,7,Sales,79,51.37,0
61,98450,3,Engineering,81,57.46,0
60,51352,23,Marketing,34,51.89,0
39,85069,18,HR,91,69.57,1
61,44397,38,Engineering,98,78.2,1
22,71555,35,Marketing,21,64.94,0
32,76959,15,Sales,24,50.89,0
49,30728,25,Sales,68,50.63,0
46,80517,37,Engineering,35,68.08,1
44,96234,28,Marketing,35,68.86,1
52,69954,10,Engineering,56,48.59,0
51,77280,39,Engineering,41,74.77,1
63,109459,17,Marketing,19,61.51,0
56,46779,39,Marketing,25,58.74,0
28,93932,22,HR,80,71.58,1
37,102936,26,Marketing,26,66.03,1
47,54466,25,Sales,32,50.77,0
23,66939,17,Engineering,35,52.68,0
22,99896,13,Engineering,94,63.72,0
33,65270,20,Sales,95,69.52,1
26,89163,25,Marketing,16,56.84,0
58,112637,4,Sales,23,49.56,0
53,81934,10,Sales,88,59.78,0
30,94895,3,HR,16,41.17,0
62,62307,18,Sales,18,47.88,0
56,84098,36,Engineering,57,69.82,1
40,90921,22,Sales,81,68.63,1
37,35486,34,Engineering,68,66.57,1
24,38335,8,Engineering,96,50.18,0
41,116900,19,Engineering,91,77.28,1
45,119112,37,Marketing,48,81.13,1
54,41130,6,HR,27,39.38,0
45,117508,26,Engineering,68,75.48,1
32,90566,34,Engineering,26,70.54,1
29,96703,6,Marketing,23,47.08,0
57,57192,37,Engineering,40,61.05,0
59,31062,33,Sales,33,52.72,0
61,114076,22,Sales,69,69.62,1
41,119780,21,HR,54,66.9,1
56,51545,6,Engineering,12,29.79,0
46,51689,6,Marketing,46,44.02,0
56,41174,4,Sales,52,36.49,0
46,118461,30,Marketing,49,78.52,1
50,39348,11,Marketing,99,54.69,0
39,53714,30,Sales,64,68.33,1
39,68102,31,Marketing,96,74.28,1
23,104460,24,Sales,48,68.32,1
56,119930,9,Marketing,24,53.73,0
37,36801,3,Sales,13,27.45,0
62,102267,31,Engineering,95,80.62,1
57,78136,37,HR,34,72.68,1
54,53625,36,Sales,22,57.81,0
25,112873,24,Sales,91,79.62,1
54,102592,31,HR,42,68.7,1
35,107052,6,Sales,25,55.26,0
42,74261,2,Sales,51,45.07,0
41,31542,20,Marketing,75,51.09,0
29,51677,28,HR,64,62.32,0
28,76732,11,Engineering,51,49.03,0
24,80343,4,Sales,43,44.49,0
38,69081,15,HR,39,51.52,0
54,92856,6,Marketing,22,51.11,0
33,118858,30,Engineering,22,76.41,1
43,49065,38,HR,27,57.37,0
43,113460,2,Engineering,41,48.46,0
51,118092,15,Engineering,48,65.97,1
59,84693,11,Engineering,55,59.02,0
59,56962,8,Sales,38,42.44,0
29,58295,26,Sales,71,58.67,0
48,43807,5,Marketing,71,42.7,0
48,72348,6,Marketing,66,54.79,0
55,56432,26,HR,25,51.41,0
42,113285,4,Marketing,65,59.12,0
51,87854,19,Engineering,19,55.81,0
