Age,Experience_Years,Salary,Training_Hours,Performance_Score,Department,Promoted
36,6.6,25000.0,30.0,22.7,Marketing,0
49,22.4,70760.0,86.0,59.8,Engineering,0
55,10.9,42146.0,51.0,26.9,Marketing,0
23,0.4,25000.0,63.0,23.7,Engineering,0
53,26.0,86387.0,41.0,63.8,HR,0
44,10.0,41547.0,47.0,42.6,Sales,0
43,9.1,47844.0,79.0,47.2,HR,0
46,9.2,40974.0,47.0,34.1,Sales,0
43,17.1,52433.0,63.0,43.1,Engineering,0
43,12.6,39871.0,69.0,43.7,HR,0
27,3.5,25000.0,86.0,40.7,Marketing,0
36,6.2,25000.0,86.0,39.2,Sales,0
58,27.2,85944.0,56.0,71.5,Sales,1
54,24.2,69006.0,21.0,42.8,Engineering,1
29,3.4,25000.0,62.0,27.3,Sales,0
26,2.2,25000.0,42.0,34.8,Sales,0
25,1.3,25000.0,37.0,29.7,Sales,0
27,4.4,25000.0,12.0,20.0,Engineering,0
53,21.3,70383.0,91.0,64.8,HR,0
51,25.0,84296.0,35.0,65.0,Engineering,1
56,16.4,53497.0,63.0,44.5,Marketing,0
37,11.5,35411.0,49.0,21.9,Sales,0
34,9.1,36510.0,75.0,39.8,Sales,0
51,20.7,62205.0,77.0,52.9,HR,0
40,15.8,50334.0,98.0,49.2,Sales,0
38,8.6,40279.0,99.0,44.9,HR,0
40,6.8,25000.0,56.0,27.2,Sales,0
49,19.0,69922.0,11.0,48.8,Sales,0
47,18.4,58421.0,51.0,44.7,Engineering,0
58,23.2,69794.0,43.0,54.0,Engineering,0
47,10.6,,30.0,26.3,Marketing,0
44,13.3,46989.0,53.0,43.5,HR,0
30,3.9,25000.0,96.0,21.6,Marketing,0
33,6.1,25000.0,11.0,20.0,Engineering,0
22,0.0,25000.0,68.0,34.9,HR,0
22,0.0,25000.0,95.0,30.4,Engineering,1
55,14.5,53844.0,25.0,44.5,HR,1
53,16.8,,29.0,54.5,Sales,0
46,11.1,,35.0,20.0,Marketing,0
22,0.0,25000.0,25.0,20.9,Marketing,0
37,11.6,35727.0,79.0,25.2,HR,0
26,3.4,25000.0,32.0,22.5,Marketing,0
43,11.0,30136.0,51.0,30.3,Engineering,0
50,21.0,61596.0,46.0,37.9,Marketing,0
24,1.7,25000.0,81.0,42.5,HR,0
33,8.9,37896.0,15.0,29.7,Marketing,0
47,10.2,,46.0,26.3,Marketing,0
37,13.1,45322.0,31.0,43.7,Engineering,0
58,18.9,65748.0,15.0,37.9,Sales,0
43,10.6,47760.0,41.0,33.9,Engineering,0
50,9.4,41355.0,26.0,21.3,Marketing,0
35,7.7,32893.0,47.0,40.3,Marketing,0
49,9.9,42947.0,,35.5,Sales,0
26,1.8,25000.0,46.0,29.2,Sales,0
51,14.2,47936.0,32.0,39.9,Engineering,0
26,3.1,,58.0,31.1,Sales,0
33,9.1,25000.0,70.0,31.1,Engineering,0
37,7.2,25688.0,58.0,30.1,HR,0
47,20.4,58446.0,70.0,53.5,Marketing,0
47,20.4,66271.0,86.0,58.3,Sales,0
42,15.2,48492.0,41.0,40.3,HR,0
57,13.6,54230.0,95.0,56.5,HR,0
54,22.9,72905.0,72.0,63.6,Engineering,0
51,25.1,70320.0,16.0,42.7,Engineering,0
58,25.5,73651.0,31.0,48.6,Sales,0
44,11.0,40670.0,94.0,51.3,Engineering,0
31,5.4,25000.0,15.0,20.0,HR,0
26,2.7,25000.0,70.0,33.6,HR,0
57,21.2,74792.0,23.0,49.0,Marketing,0
55,12.3,51045.0,25.0,31.7,HR,0
52,14.6,61089.0,,38.9,Sales,0
31,7.0,25218.0,18.0,20.0,Marketing,0
40,14.7,45544.0,56.0,38.2,Engineering,0
53,11.9,47741.0,94.0,57.1,Marketing,0
22,0.0,25000.0,51.0,27.8,HR,0
26,2.0,25000.0,51.0,36.1,Sales,0
25,2.1,25000.0,,25.1,Engineering,0
37,11.3,47614.0,12.0,22.1,Engineering,0
45,18.1,62270.0,10.0,48.8,HR,0
37,13.0,47644.0,76.0,39.4,Sales,0
23,0.5,25000.0,80.0,33.8,HR,0
49,22.0,74213.0,12.0,48.0,HR,0
53,11.7,39493.0,58.0,48.6,Sales,0
48,18.8,65837.0,76.0,66.3,HR,1
41,14.2,52871.0,64.0,44.3,Sales,0
45,16.3,57509.0,13.0,40.3,Sales,0
33,5.0,25000.0,40.0,25.9,HR,0
56,28.0,89532.0,75.0,79.0,HR,1
54,12.8,48099.0,87.0,49.6,Marketing,0
54,10.6,37810.0,73.0,34.7,Engineering,0
58,26.3,79502.0,40.0,57.4,Engineering,1
33,6.4,29419.0,72.0,34.0,Sales,0
24,1.6,,75.0,37.8,Marketing,0
22,0.0,25000.0,40.0,26.8,Sales,0
54,12.8,51967.0,56.0,42.0,Marketing,0
31,7.2,27969.0,31.0,28.1,Sales,0
50,17.6,61886.0,83.0,55.9,Engineering,0
34,5.0,25000.0,92.0,39.5,Marketing,0
33,8.1,32897.0,55.0,45.6,HR,0
52,18.2,57800.0,98.0,56.3,HR,0
23,0.7,25000.0,67.0,34.1,Engineering,1
56,19.6,63273.0,70.0,52.5,Marketing,0
44,17.5,63760.0,55.0,52.9,HR,0
38,12.8,41578.0,10.0,29.9,HR,0
47,18.1,70357.0,34.0,52.7,HR,0
29,2.5,25000.0,70.0,43.0,Engineering,0
50,22.5,63519.0,90.0,58.8,Sales,0
47,17.6,64721.0,23.0,50.7,HR,0
31,6.5,33428.0,54.0,23.4,HR,0
47,12.9,42033.0,86.0,47.4,Sales,0
55,27.3,85094.0,48.0,72.0,HR,1
28,4.4,25000.0,75.0,,Marketing,0
25,1.1,25000.0,41.0,20.0,HR,0
32,5.4,25000.0,67.0,29.9,Sales,0
50,23.3,73305.0,65.0,62.0,Engineering,0
57,11.5,38443.0,15.0,32.2,Engineering,1
46,21.0,64577.0,98.0,72.7,Marketing,0
42,14.1,47912.0,76.0,45.2,HR,0
57,23.8,77116.0,91.0,65.3,HR,1
31,4.2,25000.0,59.0,22.6,Sales,0
58,16.2,61668.0,47.0,51.5,Sales,0
30,6.9,26897.0,12.0,22.7,Marketing,0
45,11.0,35723.0,14.0,23.9,Marketing,0
56,26.0,90795.0,,,HR,1
56,18.2,60567.0,63.0,55.3,HR,0
57,13.4,49192.0,43.0,41.6,Marketing,0
39,5.2,27909.0,48.0,23.7,Engineering,0
53,19.4,,97.0,66.2,Engineering,1
45,20.4,67905.0,57.0,44.5,Engineering,0
44,11.5,46081.0,58.0,43.5,Engineering,0
53,15.9,50642.0,43.0,42.5,Marketing,0
58,18.2,63335.0,89.0,61.0,Sales,0
33,6.7,25000.0,16.0,22.4,Engineering,0
34,6.8,30721.0,27.0,27.8,Marketing,0
44,18.2,62685.0,79.0,57.0,Engineering,0
46,14.5,58216.0,43.0,47.7,HR,0
56,20.6,57508.0,60.0,43.3,Engineering,1
51,11.1,39897.0,77.0,39.1,Marketing,0
38,14.2,53401.0,23.0,40.5,HR,0
41,8.5,26542.0,78.0,29.6,HR,0
46,8.3,38578.0,98.0,49.6,Engineering,0
43,14.7,55320.0,17.0,37.0,Engineering,0
34,7.9,29808.0,24.0,25.8,HR,0
40,9.9,29643.0,,38.7,Sales,0
57,19.4,64992.0,68.0,60.7,Marketing,0
33,8.5,38443.0,20.0,,Marketing,0
40,7.5,38445.0,,34.9,Marketing,0
33,8.7,32689.0,64.0,24.1,Marketing,0
30,5.5,25000.0,45.0,31.6,Marketing,0
28,3.3,25342.0,91.0,42.7,HR,0
49,15.5,,23.0,,Marketing,0
35,5.9,25000.0,67.0,31.2,Sales,0
52,22.5,73563.0,47.0,54.0,Sales,1
40,10.9,40734.0,98.0,37.0,Engineering,0
37,7.4,26416.0,89.0,31.7,Engineering,0
26,2.6,25000.0,91.0,32.2,Engineering,0
56,30.5,98581.0,10.0,65.9,Engineering,1
33,6.2,25000.0,74.0,26.7,HR,0
46,20.5,71091.0,10.0,45.7,Sales,0
42,10.1,29073.0,94.0,38.1,HR,0
57,11.6,57191.0,69.0,48.1,Sales,0
44,9.3,36737.0,34.0,34.0,HR,0
37,8.3,37215.0,19.0,32.0,Sales,0
35,5.6,25593.0,59.0,40.8,Engineering,0
52,9.0,33982.0,21.0,32.5,Sales,0
26,3.4,25000.0,41.0,26.1,Engineering,1
56,27.4,75753.0,42.0,55.8,Sales,0
44,16.4,57642.0,81.0,56.1,HR,0
50,11.2,43969.0,35.0,37.9,Marketing,0
32,3.7,25000.0,,24.3,Sales,0
39,5.8,29963.0,59.0,35.7,HR,0
33,8.1,30338.0,70.0,27.2,Marketing,1
30,6.9,29284.0,50.0,28.3,HR,0
31,5.0,26612.0,66.0,33.7,Marketing,0
38,5.9,25000.0,,20.0,Engineering,0
59,22.5,69773.0,79.0,61.3,Sales,0
28,3.1,25000.0,40.0,24.0,HR,0
34,6.3,26563.0,32.0,,Sales,0
30,5.4,,85.0,39.5,Engineering,0
48,19.0,55282.0,63.0,44.4,Engineering,0
23,0.4,25000.0,37.0,,Sales,0
26,1.3,25000.0,88.0,36.3,HR,0
50,25.1,,28.0,45.7,HR,0
58,15.8,,85.0,60.3,HR,0
59,12.3,38585.0,57.0,32.6,Sales,0
40,7.5,35571.0,11.0,32.9,HR,0
29,2.3,,20.0,,HR,0
22,0.0,25000.0,53.0,24.0,Marketing,0
43,16.4,51286.0,68.0,41.7,HR,0
38,8.1,34164.0,68.0,29.6,Engineering,0
28,3.4,25000.0,47.0,34.0,HR,0
46,16.9,51121.0,34.0,43.6,Sales,0
25,1.8,25000.0,30.0,23.4,Sales,0
57,28.6,93254.0,51.0,69.1,HR,1
27,4.1,25000.0,45.0,30.2,Sales,0
52,9.2,35910.0,18.0,23.4,Sales,0
40,13.8,51177.0,21.0,42.3,HR,0
48,15.0,54442.0,19.0,35.7,Marketing,0
31,8.0,25000.0,68.0,27.0,Marketing,0
47,14.7,49013.0,14.0,39.3,Marketing,0
40,16.1,56345.0,42.0,50.3,Marketing,0
24,1.5,25000.0,78.0,35.3,Engineering,0
34,5.4,29130.0,89.0,32.0,HR,0
49,16.8,54992.0,72.0,48.8,Sales,0
41,17.0,49801.0,38.0,41.6,Sales,0
49,22.0,80668.0,27.0,54.9,HR,1
29,2.5,25000.0,15.0,26.5,Sales,0
22,0.0,25000.0,62.0,20.0,Engineering,0
24,1.0,25000.0,91.0,31.0,Marketing,0
34,3.7,25000.0,41.0,22.3,HR,0
49,14.6,54432.0,51.0,32.3,Sales,0
46,10.6,51856.0,56.0,38.8,Engineering,0
54,25.3,78862.0,40.0,63.7,Sales,0
59,18.6,59835.0,,54.2,Engineering,0
27,4.0,25000.0,65.0,37.5,Sales,0
53,9.3,37550.0,20.0,36.8,Marketing,0
42,9.7,36509.0,35.0,33.5,HR,0
37,6.7,25000.0,36.0,25.4,Marketing,0
42,8.8,38520.0,92.0,44.4,Marketing,0
32,3.4,25000.0,66.0,20.0,Sales,0
58,14.8,48081.0,36.0,32.3,Marketing,0
57,22.2,77440.0,68.0,65.7,HR,1
56,16.1,52993.0,71.0,52.6,Engineering,0
40,9.9,30836.0,,27.8,Engineering,0
41,10.0,37737.0,12.0,23.1,Sales,0
39,14.0,37911.0,25.0,35.0,HR,0
35,11.0,40948.0,53.0,45.3,HR,0
36,8.3,25000.0,88.0,39.0,Engineering,0
52,14.9,47703.0,39.0,44.5,Engineering,0
22,0.0,25000.0,49.0,23.7,Marketing,0
24,1.7,25000.0,74.0,36.8,Sales,0
37,5.0,25000.0,38.0,25.0,Engineering,0
44,10.5,45818.0,39.0,40.9,Engineering,0
32,4.8,25000.0,41.0,,HR,1
33,5.4,,19.0,21.3,HR,0
31,3.6,25000.0,60.0,24.4,HR,0
53,23.9,78043.0,17.0,55.0,Engineering,0
37,5.6,25000.0,60.0,33.6,Sales,0
29,4.8,25000.0,45.0,23.5,Marketing,0
59,13.8,65768.0,64.0,61.1,Sales,0
33,3.8,25000.0,44.0,29.2,Engineering,0
45,19.5,77182.0,45.0,59.0,Marketing,0
49,11.2,51245.0,65.0,54.1,Sales,0
